SEQ,접수일,접수시각,장기서비스여부,최초서비스일,전체회차,현재회차,서비스일자,서비스시작시간,서비스종료시간,기존고객여부,결재형태,서비스주소,주거형태,평수,고객가입일,반려동물,부재중여부,우선청소,쿠폰사용여부,매니저생년월일,매니저성별,매니저사용휴대폰,매니저이동방법,근무가능지역,CS교육이수여부,청소교육이수여부,부재중서비스가능여부,추천인여부
T54370,2020-11-26,,1,2020-11-30,8,2,2020-12-04,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2020-03-25,개,0,주방,0,1961,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T47892,2021-04-30,,1,2021-05-12,4,1,2021-05-12,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2019-06-01,개,0,주방,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T56637,2019-12-26,,1,2020-01-02,5,1,2020-01-02,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,,2020-01-02,없음,,,1,1969,0,안드로이드,대중교통,기타,0,0,1,0
T45487,2021-07-26,,1,2021-08-02,4,3,2021-08-23,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2021-06-28,없음,0,주방,0,1961,0,,대중교통,부산,,,1,0
T41995,2019-09-02,,1,2019-09-09,3,1,2019-09-09,9:00:00,13:00:00,1,신용카드,충남 아산시,일반주택,,2019-07-08,없음,,,0,1964,0,안드로이드,대중교통,천안/아산,0,0,1,0
T48107,2021-06-23,12:54:14,1,2021-06-28,5,1,2021-06-28,9:00:00,13:00:00,0,신용카드,충남 천안시,일반주택,40평대이상,2021-06-28,없음,0,주방,0,1966,0,기타,대중교통,광주,0,0,1,0
T54827,2021-01-05,,1,2021-01-08,8,5,2021-01-22,14:00:00,18:00:00,1,신용카드,충남 천안시,일반주택,30평대,2020-06-23,없음,0,,0,1978,0,안드로이드,대중교통,원주/춘천,0,0,1,0
T32807,2020-12-30,,1,2021-01-21,4,2,2021-01-29,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,30평대,2019-08-05,없음,0,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T32840,2020-12-30,17:43:03,0,2021-01-08,1,1,2021-01-08,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2020-10-07,없음,1,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T45815,2021-02-26,,1,2021-03-01,9,3,2021-03-08,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2020-10-19,개,0,주방,0,1958,0,안드로이드,대중교통,천안/아산,0,0,1,0
T35301,2020-11-03,,1,2020-11-17,4,1,2020-11-17,9:00:00,13:00:00,1,가상계좌,충남 천안시,일반주택,40평대이상,2019-08-30,없음,0,방,0,1969,0,안드로이드,대중교통,기타,0,0,1,0
T46337,2021-01-19,,1,2021-01-25,4,2,2021-02-08,14:00:00,18:00:00,1,신용카드,충남 천안시,일반주택,30평대,2020-06-22,없음,0,,0,1955,0,안드로이드,대중교통,기타,0,0,1,0
T52496,2021-07-07,,1,2021-07-12,4,3,2021-08-03,14:00:00,18:00:00,1,신용카드,충남 천안시,일반주택,30평대,2020-06-22,없음,0,,0,1974,0,안드로이드,자차,천안/아산,1,1,1,0
T33019,2019-10-28,,1,2019-10-31,4,1,2019-10-31,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,,2019-04-11,없음,,,1,1959,0,안드로이드,자차,천안/아산,0,1,1,0
T41108,2020-11-12,,1,2020-11-19,4,1,2020-11-19,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,20평대,2020-08-20,없음,0,화장실,0,1969,0,안드로이드,대중교통,천안/아산,0,0,0,0
T42462,2021-01-28,,1,2021-02-01,7,3,2021-02-08,9:00:00,13:00:00,1,신용카드,충남 천안시,일반주택,40평대이상,2020-02-13,없음,0,방,0,1980,0,안드로이드,대중교통,천안/아산,0,0,1,0
T53992,2021-05-05,15:31:59,1,2021-05-26,4,1,2021-05-26,9:00:00,13:00:00,0,신용카드,충남 천안시,일반주택,40평대이상,2021-05-26,없음,0,화장실,0,1961,0,안드로이드,대중교통,천안/아산,0,0,1,0
T46492,2019-10-10,,1,2019-10-14,4,2,2019-10-17,9:00:00,18:00:00,1,가상계좌,서울 강남구,일반주택,,2019-09-30,없음,,,0,1971,0,안드로이드,대중교통,서울,0,0,1,0
T52395,2021-01-05,,1,2021-01-12,4,2,2021-01-19,9:00:00,13:00:00,1,신용카드,서울 용산구,일반주택,20평대,2020-06-24,개,1,방,0,1961,0,안드로이드,대중교통,원주/춘천,0,0,1,1
T38409,2020-07-05,,1,2020-07-15,4,1,2020-07-15,9:00:00,13:00:00,0,무통장입금,서울 은평구,일반주택,30평대,2020-07-15,없음,0,방,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T53718,2019-09-18,,1,2019-09-23,4,4,2019-10-14,14:00:00,18:00:00,1,신용카드,서울 마포구,일반주택,,2019-09-16,없음,,,0,1971,0,안드로이드,대중교통,서울,0,0,1,0
T34791,2019-10-12,,0,2019-10-15,1,1,2019-10-15,14:00:00,18:00:00,0,신용카드,서울 강남구,일반주택,,2019-10-15,기타,,,0,1959,0,,,서울,,,1,0
T54736,2019-09-11,,0,2019-09-16,1,1,2019-09-16,14:00:00,18:00:00,0,신용카드,서울 마포구,일반주택,,2019-09-16,기타,,,0,1983,0,안드로이드,대중교통,천안/아산,1,1,1,0
T48321,2021-02-01,,1,2021-02-08,4,1,2021-02-08,9:00:00,13:00:00,1,무통장입금,서울 강서구,일반주택,30평대,2020-02-06,없음,0,방,0,1971,0,안드로이드,대중교통,서울,0,0,1,0
T38019,2021-11-09,17:39:19,1,2021-11-12,2,1,2021-11-12,9:00:00,13:00:00,1,신용카드,서울 강남구,일반주택,40평대이상,,"개,고양이",0,,0,1977,1,,대중교통,서울,0,0,0,0
T41896,2021-07-27,,1,2021-08-11,4,2,2021-08-18,9:00:00,13:00:00,1,무통장입금,서울 동작구,일반주택,40평대이상,2021-06-11,고양이,0,화장실,0,1969,0,안드로이드,대중교통,천안/아산,0,0,1,0
T56513,2020-02-04,,1,2020-02-12,7,2,2020-02-19,9:00:00,13:00:00,1,신용카드,서울 영등포구,일반주택,,2020-01-17,없음,,,0,1957,0,기타,자차,부산,0,0,1,0
T42039,2019-09-18,,1,2019-09-23,4,1,2019-09-23,14:00:00,18:00:00,1,신용카드,서울 마포구,일반주택,,2019-09-16,없음,,,0,1966,0,기타,대중교통,광주,0,0,1,0
T44768,2021-07-29,13:23:50,0,2021-08-12,1,1,2021-08-12,9:00:00,13:00:00,1,무통장입금,서울 중구,일반주택,40평대이상,2021-06-28,없음,0,화장실,0,1961,0,,,서울,,,1,0
T54337,2021-03-08,10:51:09,1,2021-03-12,4,2,2021-03-19,9:00:00,13:00:00,0,무통장입금,서울 도봉구,일반주택,30평대,2021-03-12,개,1,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0,0,0,0
T37354,2020-08-21,,1,2020-08-24,4,2,2020-08-26,14:00:00,19:00:00,0,신용카드,서울 강동구,일반주택,40평대이상,2020-08-24,없음,0,거실,0,1967,0,안드로이드,대중교통,서울,1,1,1,0
T36765,2021-07-02,23:51:14,1,2021-07-14,10,8,2021-08-06,14:00:00,18:00:00,1,신용카드,서울 성동구,일반주택,30평대,2021-06-18,없음,0,화장실,0,1969,0,안드로이드,대중교통,서울,0,0,1,0
T43601,2020-04-23,,1,2020-04-29,7,2,2020-05-04,10:00:00,14:00:00,1,신용카드,서울 서초구,일반주택,40평대이상,2019-10-16,없음,0,방,0,1971,0,안드로이드,대중교통,천안/아산,0,0,1,0
T58155,2021-07-07,13:40:09,1,2021-07-16,4,1,2021-07-16,9:00:00,13:00:00,1,신용카드,서울 용산구,일반주택,30평대,2021-06-16,없음,1,베란다,0,1958,0,안드로이드,대중교통,천안/아산,0,0,1,0
T32788,2020-07-28,,1,2020-08-04,8,2,2020-08-07,8:00:00,12:00:00,1,무통장입금,서울 강남구,일반주택,40평대이상,2020-05-15,없음,0,,0,1964,0,기타,자차,천안/아산,0,0,0,0
